sequence_id	sequence_name	skill_rows	weapon_class_index	weapon_class	weapon_class_id	available	array_name	runtime_group_rva	runtime_descriptor_rva	runtime_records_rva	static_group_seed_rvas	static_records_seed_rvas	sequence_frame_count	animation_frame_count	descriptor_extra
3	Chastise		8	1JS	8	0		0x23834B0	0x2383570		0x1991540		0	0	0x100
3	Chastise		9	1JT	9	0		0x23834B0	0x2383588		0x1991540		0	0	0x100
3	Chastise		10	1SS	10	0		0x23834B0	0x23835A0		0x1991540		0	0	0x100
3	Chastise		11	1ST	11	0		0x23834B0	0x23835B8		0x1991540		0	0	0x100
3	Chastise		12	HT1	12	0		0x23834B0	0x23835D0		0x1991540		0	0	0x100
3	Chastise		13	HT2	13	0		0x23834B0	0x23835E8		0x1991540		0	0	0x100
4	Charge	pal:Charge	0	HTH	0	1	gPlayerSequenceCharge	0x2383660	0x2383660	0x2383600	0x1991A90	0x1992F40	15	15	0x100
4	Charge	pal:Charge	1	1HT	3	1	gPlayerSequenceCharge	0x2383660	0x2383678	0x2383600	0x1991A90	0x1992F40	15	15	0x100
4	Charge	pal:Charge	2	2HT	6	1	gPlayerSequenceCharge	0x2383660	0x2383690	0x2383600	0x1991A90	0x1992F40	15	15	0x100
4	Charge	pal:Charge	3	1HS	2	1	gPlayerSequenceCharge	0x2383660	0x23836A8	0x2383600	0x1991A90	0x1992F40	15	15	0x100
4	Charge	pal:Charge	4	2HS	5	1	gPlayerSequenceCharge	0x2383660	0x23836C0	0x2383600	0x1991A90	0x1992F40	15	15	0x100
4	Charge	pal:Charge	5	BOW	1	0		0x2383660	0x23836D8		0x1991A90		0	0	0x100
4	Charge	pal:Charge	6	XBW	7	0		0x2383660	0x23836F0		0x1991A90		0	0	0x100
4	Charge	pal:Charge	7	STF	4	1	gPlayerSequenceCharge	0x2383660	0x2383708	0x2383600	0x1991A90	0x1992F40	15	15	0x100
4	Charge	pal:Charge	8	1JS	8	0		0x2383660	0x2383720		0x1991A90		0	0	0x100
4	Charge	pal:Charge	9	1JT	9	0		0x2383660	0x2383738		0x1991A90		0	0	0x100
4	Charge	pal:Charge	10	1SS	10	0		0x2383660	0x2383750		0x1991A90		0	0	0x100
4	Charge	pal:Charge	11	1ST	11	0		0x2383660	0x2383768		0x1991A90		0	0	0x100
4	Charge	pal:Charge	12	HT1	12	0		0x2383660	0x2383780		0x1991A90		0	0	0x100
4	Charge	pal:Charge	13	HT2	13	0		0x2383660	0x2383798		0x1991A90		0	0	0x100
5	Defiance	pal:Conviction	0	HTH	0	1	gPlayerSequenceHandToHand2	0x23837E0	0x23837E0	0x2383000	0x1991EB0	0x1991BE0	14	14	0x100
5	Defiance	pal:Conviction	1	1HT	3	0		0x23837E0	0x23837F8		0x1991EB0		0	0	0x100
5	Defiance	pal:Conviction	2	2HT	6	0		0x23837E0	0x2383810		0x1991EB0		0	0	0x100
5	Defiance	pal:Conviction	3	1HS	2	1	gPlayerSequenceDefiance_1HT	0x23837E0	0x2383828	0x23837B0	0x1991EB0	0x1990948	6	6	0x100
5	Defiance	pal:Conviction	4	2HS	5	0		0x23837E0	0x2383840		0x1991EB0		0	0	0x100
5	Defiance	pal:Conviction	5	BOW	1	0		0x23837E0	0x2383858		0x1991EB0		0	0	0x100
5	Defiance	pal:Conviction	6	XBW	7	0		0x23837E0	0x2383870		0x1991EB0		0	0	0x100
5	Defiance	pal:Conviction	7	STF	4	0		0x23837E0	0x2383888		0x1991EB0		0	0	0x100
5	Defiance	pal:Conviction	8	1JS	8	0		0x23837E0	0x23838A0		0x1991EB0		0	0	0x100
5	Defiance	pal:Conviction	9	1JT	9	0		0x23837E0	0x23838B8		0x1991EB0		0	0	0x100
5	Defiance	pal:Conviction	10	1SS	10	0		0x23837E0	0x23838D0		0x1991EB0		0	0	0x100
5	Defiance	pal:Conviction	11	1ST	11	0		0x23837E0	0x23838E8		0x1991EB0		0	0	0x100
5	Defiance	pal:Conviction	12	HT1	12	0		0x23837E0	0x2383900		0x1991EB0		0	0	0x100
5	Defiance	pal:Conviction	13	HT2	13	0		0x23837E0	0x2383918		0x1991EB0		0	0	0x100
6	Inferno	sor:Inferno|war:Bind Demon	0	HTH	0	1	gPlayerSequenceInferno	0x2383990	0x2383990	0x2383930	0x1992660|0x1992DF0	0x1992D30|0x1993680	15	15	0x100
6	Inferno	sor:Inferno|war:Bind Demon	1	1HT	3	1	gPlayerSequenceInferno	0x2383990	0x23839A8	0x2383930	0x1992660|0x1992DF0	0x1992D30|0x1993680	15	15	0x100
6	Inferno	sor:Inferno|war:Bind Demon	2	2HT	6	1	gPlayerSequenceInferno	0x2383990	0x23839C0	0x2383930	0x1992660|0x1992DF0	0x1992D30|0x1993680	15	15	0x100
6	Inferno	sor:Inferno|war:Bind Demon	3	1HS	2	1	gPlayerSequenceInferno	0x2383990	0x23839D8	0x2383930	0x1992660|0x1992DF0	0x1992D30|0x1993680	15	15	0x100
6	Inferno	sor:Inferno|war:Bind Demon	4	2HS	5	1	gPlayerSequenceInferno	0x2383990	0x23839F0	0x2383930	0x1992660|0x1992DF0	0x1992D30|0x1993680	15	15	0x100
6	Inferno	sor:Inferno|war:Bind Demon	5	BOW	1	1	gPlayerSequenceInferno	0x2383990	0x2383A08	0x2383930	0x1992660|0x1992DF0	0x1992D30|0x1993680	15	15	0x100
6	Inferno	sor:Inferno|war:Bind Demon	6	XBW	7	1	gPlayerSequenceInferno	0x2383990	0x2383A20	0x2383930	0x1992660|0x1992DF0	0x1992D30|0x1993680	15	15	0x100
6	Inferno	sor:Inferno|war:Bind Demon	7	STF	4	1	gPlayerSequenceInferno	0x2383990	0x2383A38	0x2383930	0x1992660|0x1992DF0	0x1992D30|0x1993680	15	15	0x100
6	Inferno	sor:Inferno|war:Bind Demon	8	1JS	8	1	gPlayerSequenceInferno	0x2383990	0x2383A50	0x2383930	0x1992660|0x1992DF0	0x1992D30|0x1993680	15	15	0x100
6	Inferno	sor:Inferno|war:Bind Demon	9	1JT	9	1	gPlayerSequenceInferno	0x2383990	0x2383A68	0x2383930	0x1992660|0x1992DF0	0x1992D30|0x1993680	15	15	0x100
6	Inferno	sor:Inferno|war:Bind Demon	10	1SS	10	1	gPlayerSequenceInferno	0x2383990	0x2383A80	0x2383930	0x1992660|0x1992DF0	0x1992D30|0x1993680	15	15	0x100
6	Inferno	sor:Inferno|war:Bind Demon	11	1ST	11	1	gPlayerSequenceInferno	0x2383990	0x2383A98	0x2383930	0x1992660|0x1992DF0	0x1992D30|0x1993680	15	15	0x100
6	Inferno	sor:Inferno|war:Bind Demon	12	HT1	12	1	gPlayerSequenceInferno	0x2383990	0x2383AB0	0x2383930	0x1992660|0x1992DF0	0x1992D30|0x1993680	15	15	0x100
6	Inferno	sor:Inferno|war:Bind Demon	13	HT2	13	1	gPlayerSequenceInferno	0x2383990	0x2383AC8	0x2383930	0x1992660|0x1992DF0	0x1992D30|0x1993680	15	15	0x100
7	Strafe		0	HTH	0	1	gPlayerSequenceHandToHand1	0x2383BB0	0x2383BB0	0x2382FB0	0x1991940	0x1993EB0	13	13	0x100
7	Strafe		1	1HT	3	0		0x2383BB0	0x2383BC8		0x1991940		0	0	0x100
7	Strafe		2	2HT	6	0		0x2383BB0	0x2383BE0		0x1991940		0	0	0x100
7	Strafe		3	1HS	2	0		0x2383BB0	0x2383BF8		0x1991940		0	0	0x100
7	Strafe		4	2HS	5	0		0x2383BB0	0x2383C10		0x1991940		0	0	0x100
7	Strafe		5	BOW	1	1	gPlayerSequenceStrafe_2HS	0x2383BB0	0x2383C28	0x2383AE0	0x1991940	0x19921D0	13	13	0x100
7	Strafe		6	XBW	7	1	gPlayerSequenceStrafe_2HT	0x2383BB0	0x2383C40	0x2383B30	0x1991940	0x19935D0	20	20	0x100
7	Strafe		7	STF	4	0		0x2383BB0	0x2383C58		0x1991940		0	0	0x100
7	Strafe		8	1JS	8	0		0x2383BB0	0x2383C70		0x1991940		0	0	0x100
7	Strafe		9	1JT	9	0		0x2383BB0	0x2383C88		0x1991940		0	0	0x100
7	Strafe		10	1SS	10	0		0x2383BB0	0x2383CA0		0x1991940		0	0	0x100
7	Strafe		11	1ST	11	0		0x2383BB0	0x2383CB8		0x1991940		0	0	0x100
7	Strafe		12	HT1	12	0		0x2383BB0	0x2383CD0		0x1991940		0	0	0x100
7	Strafe		13	HT2	13	0		0x2383BB0	0x2383CE8		0x1991940		0	0	0x100
8	Impale	ama:Impale	0	HTH	0	1	gPlayerSequenceHandToHand1	0x2383E10	0x2383E10	0x2382FB0	0x1992A20	0x1993EB0	13	13	0x100
8	Impale	ama:Impale	1	1HT	3	1	gPlayerSequenceImpale_BOW	0x2383E10	0x2383E28	0x2383D00	0x1992A20	0x1992000	21	21	0x100
8	Impale	ama:Impale	2	2HT	6	1	gPlayerSequenceImpale_1HS	0x2383E10	0x2383E40	0x2383D80	0x1992A20	0x19927B0	24	24	0x100
8	Impale	ama:Impale	3	1HS	2	0		0x2383E10	0x2383E58		0x1992A20		0	0	0x100
8	Impale	ama:Impale	4	2HS	5	0		0x2383E10	0x2383E70		0x1992A20		0	0	0x100
8	Impale	ama:Impale	5	BOW	1	0		0x2383E10	0x2383E88		0x1992A20		0	0	0x100
8	Impale	ama:Impale	6	XBW	7	0		0x2383E10	0x2383EA0		0x1992A20		0	0	0x100
8	Impale	ama:Impale	7	STF	4	0		0x2383E10	0x2383EB8		0x1992A20		0	0	0x100
8	Impale	ama:Impale	8	1JS	8	0		0x2383E10	0x2383ED0		0x1992A20		0	0	0x100
8	Impale	ama:Impale	9	1JT	9	0		0x2383E10	0x2383EE8		0x1992A20		0	0	0x100
8	Impale	ama:Impale	10	1SS	10	0		0x2383E10	0x2383F00		0x1992A20		0	0	0x100
8	Impale	ama:Impale	11	1ST	11	0		0x2383E10	0x2383F18		0x1992A20		0	0	0x100
8	Impale	ama:Impale	12	HT1	12	0		0x2383E10	0x2383F30		0x1992A20		0	0	0x100
8	Impale	ama:Impale	13	HT2	13	0		0x2383E10	0x2383F48		0x1992A20		0	0	0x100
9	Fend	ama:Fend	0	HTH	0	1	gPlayerSequenceHandToHand1	0x2384020	0x2384020	0x2382FB0	0x1993980	0x1993EB0	13	13	0x100
9	Fend	ama:Fend	1	1HT	3	1	gPlayerSequenceFend_BOW	0x2384020	0x2384038	0x2383F60	0x1993980	0x1993BC0	16	16	0x100
9	Fend	ama:Fend	2	2HT	6	1	gPlayerSequenceFend_1HS	0x2384020	0x2384050	0x2383FC0	0x1993980	0x1992D90	16	16	0x100
9	Fend	ama:Fend	3	1HS	2	0		0x2384020	0x2384068		0x1993980		0	0	0x100
9	Fend	ama:Fend	4	2HS	5	0		0x2384020	0x2384080		0x1993980		0	0	0x100
9	Fend	ama:Fend	5	BOW	1	0		0x2384020	0x2384098		0x1993980		0	0	0x100
9	Fend	ama:Fend	6	XBW	7	0		0x2384020	0x23840B0		0x1993980		0	0	0x100
9	Fend	ama:Fend	7	STF	4	0		0x2384020	0x23840C8		0x1993980		0	0	0x100
9	Fend	ama:Fend	8	1JS	8	0		0x2384020	0x23840E0		0x1993980		0	0	0x100
9	Fend	ama:Fend	9	1JT	9	0		0x2384020	0x23840F8		0x1993980		0	0	0x100
9	Fend	ama:Fend	10	1SS	10	0		0x2384020	0x2384110		0x1993980		0	0	0x100
9	Fend	ama:Fend	11	1ST	11	0		0x2384020	0x2384128		0x1993980		0	0	0x100
9	Fend	ama:Fend	12	HT1	12	0		0x2384020	0x2384140		0x1993980		0	0	0x100
9	Fend	ama:Fend	13	HT2	13	0		0x2384020	0x2384158		0x1993980		0	0	0x100
10	Whirlwind	bar:Whirlwind	0	HTH	0	1	gPlayerSequenceWhirlwind	0x23841A0	0x23841A0	0x2384170	0x1991390	0x1990D58	8	8	0x100
10	Whirlwind	bar:Whirlwind	1	1HT	3	1	gPlayerSequenceWhirlwind	0x23841A0	0x23841B8	0x2384170	0x1991390	0x1990D58	8	8	0x100
10	Whirlwind	bar:Whirlwind	2	2HT	6	1	gPlayerSequenceWhirlwind	0x23841A0	0x23841D0	0x2384170	0x1991390	0x1990D58	8	8	0x100
10	Whirlwind	bar:Whirlwind	3	1HS	2	1	gPlayerSequenceWhirlwind	0x23841A0	0x23841E8	0x2384170	0x1991390	0x1990D58	8	8	0x100
10	Whirlwind	bar:Whirlwind	4	2HS	5	1	gPlayerSequenceWhirlwind	0x23841A0	0x2384200	0x2384170	0x1991390	0x1990D58	8	8	0x100
10	Whirlwind	bar:Whirlwind	5	BOW	1	0		0x23841A0	0x2384218		0x1991390		0	0	0x100
10	Whirlwind	bar:Whirlwind	6	XBW	7	0		0x23841A0	0x2384230		0x1991390		0	0	0x100
10	Whirlwind	bar:Whirlwind	7	STF	4	1	gPlayerSequenceWhirlwind	0x23841A0	0x2384248	0x2384170	0x1991390	0x1990D58	8	8	0x100
10	Whirlwind	bar:Whirlwind	8	1JS	8	1	gPlayerSequenceWhirlwind	0x23841A0	0x2384260	0x2384170	0x1991390	0x1990D58	8	8	0x100
10	Whirlwind	bar:Whirlwind	9	1JT	9	1	gPlayerSequenceWhirlwind	0x23841A0	0x2384278	0x2384170	0x1991390	0x1990D58	8	8	0x100
10	Whirlwind	bar:Whirlwind	10	1SS	10	1	gPlayerSequenceWhirlwind	0x23841A0	0x2384290	0x2384170	0x1991390	0x1990D58	8	8	0x100
10	Whirlwind	bar:Whirlwind	11	1ST	11	1	gPlayerSequenceWhirlwind	0x23841A0	0x23842A8	0x2384170	0x1991390	0x1990D58	8	8	0x100
10	Whirlwind	bar:Whirlwind	12	HT1	12	1	gPlayerSequenceWhirlwind	0x23841A0	0x23842C0	0x2384170	0x1991390	0x1990D58	8	8	0x100
10	Whirlwind	bar:Whirlwind	13	HT2	13	1	gPlayerSequenceWhirlwind	0x23841A0	0x23842D8	0x2384170	0x1991390	0x1990D58	8	8	0x100
11	DoubleSwing	bar:Double Swing|bar:Frenzy	0	HTH	0	1	gPlayerSequenceDoubleSwing	0x2384360	0x2384360	0x23842F0	0x19936E0	0x19934B0	17	17	0x100
11	DoubleSwing	bar:Double Swing|bar:Frenzy	1	1HT	3	1	gPlayerSequenceDoubleSwing	0x2384360	0x2384378	0x23842F0	0x19936E0	0x19934B0	17	17	0x100
11	DoubleSwing	bar:Double Swing|bar:Frenzy	2	2HT	6	1	gPlayerSequenceDoubleSwing	0x2384360	0x2384390	0x23842F0	0x19936E0	0x19934B0	17	17	0x100
11	DoubleSwing	bar:Double Swing|bar:Frenzy	3	1HS	2	1	gPlayerSequenceDoubleSwing	0x2384360	0x23843A8	0x23842F0	0x19936E0	0x19934B0	17	17	0x100
11	DoubleSwing	bar:Double Swing|bar:Frenzy	4	2HS	5	1	gPlayerSequenceDoubleSwing	0x2384360	0x23843C0	0x23842F0	0x19936E0	0x19934B0	17	17	0x100
11	DoubleSwing	bar:Double Swing|bar:Frenzy	5	BOW	1	1	gPlayerSequenceDoubleSwing	0x2384360	0x23843D8	0x23842F0	0x19936E0	0x19934B0	17	17	0x100
11	DoubleSwing	bar:Double Swing|bar:Frenzy	6	XBW	7	1	gPlayerSequenceDoubleSwing	0x2384360	0x23843F0	0x23842F0	0x19936E0	0x19934B0	17	17	0x100
11	DoubleSwing	bar:Double Swing|bar:Frenzy	7	STF	4	1	gPlayerSequenceDoubleSwing	0x2384360	0x2384408	0x23842F0	0x19936E0	0x19934B0	17	17	0x100
11	DoubleSwing	bar:Double Swing|bar:Frenzy	8	1JS	8	1	gPlayerSequenceDoubleSwing	0x2384360	0x2384420	0x23842F0	0x19936E0	0x19934B0	17	17	0x100
11	DoubleSwing	bar:Double Swing|bar:Frenzy	9	1JT	9	1	gPlayerSequenceDoubleSwing	0x2384360	0x2384438	0x23842F0	0x19936E0	0x19934B0	17	17	0x100
11	DoubleSwing	bar:Double Swing|bar:Frenzy	10	1SS	10	1	gPlayerSequenceDoubleSwing	0x2384360	0x2384450	0x23842F0	0x19936E0	0x19934B0	17	17	0x100
11	DoubleSwing	bar:Double Swing|bar:Frenzy	11	1ST	11	1	gPlayerSequenceDoubleSwing	0x2384360	0x2384468	0x23842F0	0x19936E0	0x19934B0	17	17	0x100
11	DoubleSwing	bar:Double Swing|bar:Frenzy	12	HT1	12	1	gPlayerSequenceDoubleSwing	0x2384360	0x2384480	0x23842F0	0x19936E0	0x19934B0	17	17	0x100
11	DoubleSwing	bar:Double Swing|bar:Frenzy	13	HT2	13	1	gPlayerSequenceDoubleSwing	0x2384360	0x2384498	0x23842F0	0x19936E0	0x19934B0	17	17	0x100
12	Lightning	sor:Lightning|sor:Chain Lightning|war:Miasma Chains	0	HTH	0	1	gPlayerSequenceLightning	0x2384530	0x2384530	0x23844B0	0x19930F0	0x1991690	19	19	0x100
12	Lightning	sor:Lightning|sor:Chain Lightning|war:Miasma Chains	1	1HT	3	1	gPlayerSequenceLightning	0x2384530	0x2384548	0x23844B0	0x19930F0	0x1991690	19	19	0x100
12	Lightning	sor:Lightning|sor:Chain Lightning|war:Miasma Chains	2	2HT	6	1	gPlayerSequenceLightning	0x2384530	0x2384560	0x23844B0	0x19930F0	0x1991690	19	19	0x100
12	Lightning	sor:Lightning|sor:Chain Lightning|war:Miasma Chains	3	1HS	2	1	gPlayerSequenceLightning	0x2384530	0x2384578	0x23844B0	0x19930F0	0x1991690	19	19	0x100
12	Lightning	sor:Lightning|sor:Chain Lightning|war:Miasma Chains	4	2HS	5	1	gPlayerSequenceLightning	0x2384530	0x2384590	0x23844B0	0x19930F0	0x1991690	19	19	0x100
12	Lightning	sor:Lightning|sor:Chain Lightning|war:Miasma Chains	5	BOW	1	1	gPlayerSequenceLightning	0x2384530	0x23845A8	0x23844B0	0x19930F0	0x1991690	19	19	0x100
12	Lightning	sor:Lightning|sor:Chain Lightning|war:Miasma Chains	6	XBW	7	1	gPlayerSequenceLightning	0x2384530	0x23845C0	0x23844B0	0x19930F0	0x1991690	19	19	0x100
12	Lightning	sor:Lightning|sor:Chain Lightning|war:Miasma Chains	7	STF	4	1	gPlayerSequenceLightning	0x2384530	0x23845D8	0x23844B0	0x19930F0	0x1991690	19	19	0x100
12	Lightning	sor:Lightning|sor:Chain Lightning|war:Miasma Chains	8	1JS	8	1	gPlayerSequenceLightning	0x2384530	0x23845F0	0x23844B0	0x19930F0	0x1991690	19	19	0x100
12	Lightning	sor:Lightning|sor:Chain Lightning|war:Miasma Chains	9	1JT	9	1	gPlayerSequenceLightning	0x2384530	0x2384608	0x23844B0	0x19930F0	0x1991690	19	19	0x100
12	Lightning	sor:Lightning|sor:Chain Lightning|war:Miasma Chains	10	1SS	10	1	gPlayerSequenceLightning	0x2384530	0x2384620	0x23844B0	0x19930F0	0x1991690	19	19	0x100
12	Lightning	sor:Lightning|sor:Chain Lightning|war:Miasma Chains	11	1ST	11	1	gPlayerSequenceLightning	0x2384530	0x2384638	0x23844B0	0x19930F0	0x1991690	19	19	0x100
12	Lightning	sor:Lightning|sor:Chain Lightning|war:Miasma Chains	12	HT1	12	1	gPlayerSequenceLightning	0x2384530	0x2384650	0x23844B0	0x19930F0	0x1991690	19	19	0x100
12	Lightning	sor:Lightning|sor:Chain Lightning|war:Miasma Chains	13	HT2	13	1	gPlayerSequenceLightning	0x2384530	0x2384668	0x23844B0	0x19930F0	0x1991690	19	19	0x100
13	Leap	bar:Leap	0	HTH	0	1	gPlayerSequenceLeap	0x23846E0	0x23846E0	0x2384680	0x19917F0	0x1991730	15	15	0x100
13	Leap	bar:Leap	1	1HT	3	1	gPlayerSequenceLeap	0x23846E0	0x23846F8	0x2384680	0x19917F0	0x1991730	15	15	0x100
13	Leap	bar:Leap	2	2HT	6	1	gPlayerSequenceLeap	0x23846E0	0x2384710	0x2384680	0x19917F0	0x1991730	15	15	0x100
13	Leap	bar:Leap	3	1HS	2	1	gPlayerSequenceLeap	0x23846E0	0x2384728	0x2384680	0x19917F0	0x1991730	15	15	0x100
13	Leap	bar:Leap	4	2HS	5	1	gPlayerSequenceLeap	0x23846E0	0x2384740	0x2384680	0x19917F0	0x1991730	15	15	0x100
13	Leap	bar:Leap	5	BOW	1	1	gPlayerSequenceLeap	0x23846E0	0x2384758	0x2384680	0x19917F0	0x1991730	15	15	0x100
13	Leap	bar:Leap	6	XBW	7	1	gPlayerSequenceLeap	0x23846E0	0x2384770	0x2384680	0x19917F0	0x1991730	15	15	0x100
13	Leap	bar:Leap	7	STF	4	1	gPlayerSequenceLeap	0x23846E0	0x2384788	0x2384680	0x19917F0	0x1991730	15	15	0x100
13	Leap	bar:Leap	8	1JS	8	1	gPlayerSequenceLeap	0x23846E0	0x23847A0	0x2384680	0x19917F0	0x1991730	15	15	0x100
13	Leap	bar:Leap	9	1JT	9	1	gPlayerSequenceLeap	0x23846E0	0x23847B8	0x2384680	0x19917F0	0x1991730	15	15	0x100
13	Leap	bar:Leap	10	1SS	10	1	gPlayerSequenceLeap	0x23846E0	0x23847D0	0x2384680	0x19917F0	0x1991730	15	15	0x100
13	Leap	bar:Leap	11	1ST	11	1	gPlayerSequenceLeap	0x23846E0	0x23847E8	0x2384680	0x19917F0	0x1991730	15	15	0x100
13	Leap	bar:Leap	12	HT1	12	1	gPlayerSequenceLeap	0x23846E0	0x2384800	0x2384680	0x19917F0	0x1991730	15	15	0x100
13	Leap	bar:Leap	13	HT2	13	1	gPlayerSequenceLeap	0x23846E0	0x2384818	0x2384680	0x19917F0	0x1991730	15	15	0x100
14	LeapAttack	bar:Leap Attack	0	HTH	0	1	gPlayerSequenceLeapAttack_HTH	0x2384AC0	0x2384AC0	0x2384830	0x1992220	0x1992840	22	22	0x100
14	LeapAttack	bar:Leap Attack	1	1HT	3	1	gPlayerSequenceLeapAttack_BOW_1HT	0x2384AC0	0x2384AD8	0x23848C0	0x1992220	0x1992370	25	25	0x100
14	LeapAttack	bar:Leap Attack	2	2HT	6	1	gPlayerSequenceLeapAttack_1HS_XBW	0x2384AC0	0x2384AF0	0x2384960	0x1992220	0x1992500	28	28	0x100
14	LeapAttack	bar:Leap Attack	3	1HS	2	1	gPlayerSequenceLeapAttack_BOW_1HT	0x2384AC0	0x2384B08	0x23848C0	0x1992220	0x1992370	25	25	0x100
14	LeapAttack	bar:Leap Attack	4	2HS	5	1	gPlayerSequenceLeapAttack_STF	0x2384AC0	0x2384B20	0x2384A10	0x1992220	0x1990DA0	27	27	0x100
14	LeapAttack	bar:Leap Attack	5	BOW	1	0		0x2384AC0	0x2384B38		0x1992220		0	0	0x100
14	LeapAttack	bar:Leap Attack	6	XBW	7	0		0x2384AC0	0x2384B50		0x1992220		0	0	0x100
14	LeapAttack	bar:Leap Attack	7	STF	4	1	gPlayerSequenceLeapAttack_1HS_XBW	0x2384AC0	0x2384B68	0x2384960	0x1992220	0x1992500	28	28	0x100
14	LeapAttack	bar:Leap Attack	8	1JS	8	1	gPlayerSequenceLeapAttack_HTH	0x2384AC0	0x2384B80	0x2384830	0x1992220	0x1992840	22	22	0x100
14	LeapAttack	bar:Leap Attack	9	1JT	9	1	gPlayerSequenceLeapAttack_HTH	0x2384AC0	0x2384B98	0x2384830	0x1992220	0x1992840	22	22	0x100
14	LeapAttack	bar:Leap Attack	10	1SS	10	1	gPlayerSequenceLeapAttack_HTH	0x2384AC0	0x2384BB0	0x2384830	0x1992220	0x1992840	22	22	0x100
